impedance;present_position;angle
330.62671;3744;329.10031023784916

330.62671;3736;328.3971044467426

330.62671;3729;327.78179937952444

330.62671;3719;326.9027921406413

330.62671;3707;325.8479834539815

33330.626710000004;3697;324.9689762150984

330.62671;3682;323.6504653567737

330.62671;3672;322.7714581178905

330.62671;3658;321.5408479834541

330.62671;3646;320.48603929679433

330.62671;3637;319.69493278179954

211.69764;2384;209.55532574974157

234.71715;3231;284.0072388831439

252.18848;3249;285.58945191313353

211.69764;3264;286.90796277145824

225.5642;3286;288.84177869700113

252.18848;3302;290.2481902792142

211.69764;3318;291.65460186142724

234.71715;3342;293.76421923474675

252.18848;3380;297.1044467425027

234.71715;3399;298.7745604963807

240.93568;3412;299.91726990692877

240.93568;3426;301.14788004136517

216.22615;3440;302.3784901758016

216.22615;3453;303.52119958634967

234.71715;3467;304.75180972078607

257.94192000000004;3484;306.2461220268874

225.5642;3508;308.35573940020697

252.18848;3524;309.76215098242

252.18848;3540;311.168562564633

225.5642;3560;312.9265770423993

240.93568;3582;314.86039296794223

234.71715;3598;316.26680455015526

225.5642;3615;317.7611168562566

252.18848;3636;319.6070320579112

229.65264000000002;3652;321.01344364012425

234.71715;3670;322.5956566701139

252.18848;3690;324.35367114788016

240.93568;3708;325.93588417786987

240.93568;3720;326.9906928645296

257.94192000000004;3738;328.5729058945193

257.94192000000004;3738;328.5729058945193

252.18848;3735;328.3092037228543

252.18848;3730;327.86970010341275

240.93568;3722;327.16649431230627

257.94192000000004;3712;326.2874870734231

240.93568;3702;325.40847983453995

240.93568;3685;323.9141675284386

240.93568;3667;322.33195449844897

257.94192000000004;3651;320.92554291623594

240.93568;3635;319.5191313340229

240.93568;3614;317.6732161323683

252.18848;3597;316.17890382626695

252.18848;3580;314.6845915201656

240.93568;3558;312.75077559462267

240.93568;3540;311.168562564633

240.93568;3524;309.76215098242

240.93568;3502;307.82833505687705

252.18848;3487;306.50982419855234

240.93568;3469;304.9276111685627

257.94192000000004;3446;302.90589451913144

234.71715;3431;301.5873836608067

240.93568;3413;300.0051706308171

240.93568;3390;297.9834539813859

252.18848;3375;296.66494312306116

234.71715;3358;295.1706308169598

234.71715;3333;292.97311271975195

225.5642;3315;291.39089968976225

240.93568;3301;290.16028955532585

240.93568;3277;288.05067218200634

240.93568;3259;286.4684591520167

225.5642;3246;285.3257497414686

234.71715;3227;283.6556359875906

240.93568;3207;281.8976215098243

234.71715;3191;280.4912099276113

240.93568;3172;278.82109617373334

240.93568;3151;276.9751809720787

219.2089;3136;275.656670113754

240.93568;3116;273.8986556359877

240.93568;3095;272.0527404343331

225.5642;3080;270.7342295760084

219.2089;3062;269.15201654601873

240.93568;3045;267.6577042399174

225.5642;3022;265.63598759048614

240.93568;3004;264.0537745604965

252.18848;2989;262.7352637021718

234.71715;2966;260.7135470527405

252.18848;2951;259.3950361944158

234.71715;2933;257.81282316442616

240.93568;2913;256.0548086866599

240.93568;2895;254.47259565667022

225.5642;2878;252.9782833505689

252.18848;2858;251.2202688728026

234.71715;2839;249.5501551189246

225.5642;2823;248.14374353671158

234.71715;2806;246.64943123061025

225.5642;2786;244.89141675284395

234.71715;2769;243.39710444674262

225.5642;2751;241.81489141675294

225.5642;2728;239.79317476732172

216.22615;2713;238.474663908997

234.71715;2696;236.98035160289567

234.71715;2672;234.8707342295761

252.18848;2654;233.28852119958646

240.93568;2641;232.14581178903836

252.18848;2613;229.68459152016555

240.93568;2601;228.6297828335058

225.5642;2587;227.3991726990694

240.93568;2560;225.0258531540849

234.71715;2545;223.70734229576018

240.93568;2531;222.47673216132378

211.69764;2511;220.7187176835575

234.71715;2492;219.0486039296795

211.69764;2476;217.64219234746648

234.71715;2451;215.44467425025863

225.5642;2432;213.77456049638064

203.92142;2419;212.63185108583255

240.93568;2411;211.92864529472604

225.5642;2392;210.25853154084808

225.5642;2392;210.25853154084808

240.93568;2394;210.4343329886247

225.5642;2401;211.0496380558429

219.2089;2410;211.84074457083773

234.71715;2420;212.7197518097209

252.18848;2430;213.59875904860402

225.5642;2442;214.6535677352638

234.71715;2460;216.23578076525345

216.22615;2476;217.64219234746648

225.5642;2494;219.22440537745615

211.69764;2512;220.8066184074458

225.5642;2528;222.21302998965882

225.5642;2548;223.97104446742512

211.69764;2565;225.46535677352648

240.93568;2585;227.22337125129275

225.5642;2599;228.45398138572915

225.5642;2619;230.21199586349545

240.93568;2638;231.88210961737343

225.5642;2653;233.20062047569814

225.5642;2675;235.13443640124106

225.5642;2692;236.6287487073424

252.18848;2710;238.21096173733207

240.93568;2734;240.3205791106516

225.5642;2748;241.551189245088

225.5642;2764;242.95760082730104

225.5642;2791;245.33092037228553

225.5642;2802;246.29782833505698

225.5642;2820;247.88004136504665

240.93568;2848;250.34126163391946

225.5642;2858;251.2202688728026

225.5642;2879;253.0661840744572

240.93568;2899;254.8241985522235

240.93568;2914;256.1427094105482

240.93568;2934;257.9007238883145

252.18848;2952;259.4829369183041

234.71715;2971;261.15305067218213

225.5642;2985;262.38366080661854

240.93568;3012;264.75698035160303

225.5642;3030;266.3391933815927

225.5642;3045;267.6577042399174

240.93568;3062;269.15201654601873

240.93568;3087;271.3495346432266

225.5642;3099;272.4043433298864

240.93568;3117;273.98655635987603

252.18848;3144;276.35987590486053

225.5642;3154;277.23888314374364

252.18848;3172;278.82109617373334

240.93568;3189;280.3154084798347

240.93568;3217;282.7766287487075

252.18848;3236;284.44674250258544

240.93568;3248;285.5015511892452

