impedance,present_position,angle
330.62671,3744,329.1003102
330.62671,3736,328.3971044
330.62671,3729,327.7817994
330.62671,3719,326.9027921
330.62671,3707,325.8479835
33330.62671,3697,324.9689762
330.62671,3682,323.6504654
330.62671,3672,322.7714581
330.62671,3658,321.540848
330.62671,3646,320.4860393
330.62671,3637,319.6949328
211.69764,2384,209.5553257
234.71715,3231,284.0072389
252.18848,3249,285.5894519
211.69764,3264,286.9079628
225.5642,3286,288.8417787
252.18848,3302,290.2481903
211.69764,3318,291.6546019
234.71715,3342,293.7642192
252.18848,3380,297.1044467
234.71715,3399,298.7745605
240.93568,3412,299.9172699
240.93568,3426,301.14788
216.22615,3440,302.3784902
216.22615,3453,303.5211996
234.71715,3467,304.7518097
257.94192,3484,306.246122
225.5642,3508,308.3557394
252.18848,3524,309.762151
252.18848,3540,311.1685626
225.5642,3560,312.926577
240.93568,3582,314.860393
234.71715,3598,316.2668046
225.5642,3615,317.7611169
252.18848,3636,319.6070321
229.65264,3652,321.0134436
234.71715,3670,322.5956567
252.18848,3690,324.3536711
240.93568,3708,325.9358842
240.93568,3720,326.9906929
257.94192,3738,328.5729059
257.94192,3738,328.5729059
252.18848,3735,328.3092037
252.18848,3730,327.8697001
240.93568,3722,327.1664943
257.94192,3712,326.2874871
240.93568,3702,325.4084798
240.93568,3685,323.9141675
240.93568,3667,322.3319545
257.94192,3651,320.9255429
240.93568,3635,319.5191313
240.93568,3614,317.6732161
252.18848,3597,316.1789038
252.18848,3580,314.6845915
240.93568,3558,312.7507756
240.93568,3540,311.1685626
240.93568,3524,309.762151
240.93568,3502,307.8283351
252.18848,3487,306.5098242
240.93568,3469,304.9276112
257.94192,3446,302.9058945
234.71715,3431,301.5873837
240.93568,3413,300.0051706
240.93568,3390,297.983454
252.18848,3375,296.6649431
234.71715,3358,295.1706308
234.71715,3333,292.9731127
225.5642,3315,291.3908997
240.93568,3301,290.1602896
240.93568,3277,288.0506722
240.93568,3259,286.4684592
225.5642,3246,285.3257497
234.71715,3227,283.655636
240.93568,3207,281.8976215
234.71715,3191,280.4912099
240.93568,3172,278.8210962
240.93568,3151,276.975181
219.2089,3136,275.6566701
240.93568,3116,273.8986556
240.93568,3095,272.0527404
225.5642,3080,270.7342296
219.2089,3062,269.1520165
240.93568,3045,267.6577042
225.5642,3022,265.6359876
240.93568,3004,264.0537746
252.18848,2989,262.7352637
234.71715,2966,260.7135471
252.18848,2951,259.3950362
234.71715,2933,257.8128232
240.93568,2913,256.0548087
240.93568,2895,254.4725957
225.5642,2878,252.9782834
252.18848,2858,251.2202689
234.71715,2839,249.5501551
225.5642,2823,248.1437435
234.71715,2806,246.6494312
225.5642,2786,244.8914168
234.71715,2769,243.3971044
225.5642,2751,241.8148914
225.5642,2728,239.7931748
216.22615,2713,238.4746639
234.71715,2696,236.9803516
234.71715,2672,234.8707342
252.18848,2654,233.2885212
240.93568,2641,232.1458118
252.18848,2613,229.6845915
240.93568,2601,228.6297828
225.5642,2587,227.3991727
240.93568,2560,225.0258532
234.71715,2545,223.7073423
240.93568,2531,222.4767322
211.69764,2511,220.7187177
234.71715,2492,219.0486039
211.69764,2476,217.6421923
234.71715,2451,215.4446743
225.5642,2432,213.7745605
203.92142,2419,212.6318511
240.93568,2411,211.9286453
225.5642,2392,210.2585315
225.5642,2392,210.2585315
240.93568,2394,210.434333
225.5642,2401,211.0496381
219.2089,2410,211.8407446
234.71715,2420,212.7197518
252.18848,2430,213.598759
225.5642,2442,214.6535677
234.71715,2460,216.2357808
216.22615,2476,217.6421923
225.5642,2494,219.2244054
211.69764,2512,220.8066184
225.5642,2528,222.21303
225.5642,2548,223.9710445
211.69764,2565,225.4653568
240.93568,2585,227.2233713
225.5642,2599,228.4539814
225.5642,2619,230.2119959
240.93568,2638,231.8821096
225.5642,2653,233.2006205
225.5642,2675,235.1344364
225.5642,2692,236.6287487
252.18848,2710,238.2109617
240.93568,2734,240.3205791
225.5642,2748,241.5511892
225.5642,2764,242.9576008
225.5642,2791,245.3309204
225.5642,2802,246.2978283
225.5642,2820,247.8800414
240.93568,2848,250.3412616
225.5642,2858,251.2202689
225.5642,2879,253.0661841
240.93568,2899,254.8241986
240.93568,2914,256.1427094
240.93568,2934,257.9007239
252.18848,2952,259.4829369
234.71715,2971,261.1530507
225.5642,2985,262.3836608
240.93568,3012,264.7569804
225.5642,3030,266.3391934
225.5642,3045,267.6577042
240.93568,3062,269.1520165
240.93568,3087,271.3495346
225.5642,3099,272.4043433
240.93568,3117,273.9865564
252.18848,3144,276.3598759
225.5642,3154,277.2388831
252.18848,3172,278.8210962
240.93568,3189,280.3154085
240.93568,3217,282.7766287
252.18848,3236,284.4467425
240.93568,3248,285.5015512
252.18848,3264,286.9079628
225.5642,3282,288.4901758
225.5642,3301,290.1602896
225.5642,3353,294.7311272
225.5642,3368,296.0496381
252.18848,3382,297.2802482
225.5642,3395,298.4229576
240.93568,3408,299.565667
252.18848,3422,300.7962771
225.5642,3437,302.114788
252.18848,3450,303.2574974
225.5642,3466,304.663909
225.5642,3484,306.246122
234.71715,3507,308.2678387
252.18848,3521,309.4984488
240.93568,3539,311.0806618
240.93568,3570,313.8055843
225.5642,3585,315.1240951
271.89521,3598,316.2668046
257.94192,3619,318.1127198
271.89521,3632,319.2554292
240.93568,3650,320.8376422
271.89521,3674,322.9472596
225.5642,3689,324.2657704
257.94192,3706,325.7600827
240.93568,3720,326.9906929
229.65264,3738,328.5729059
271.89521,3738,328.5729059
240.93568,3734,328.221303
240.93568,3728,327.6938987
271.89521,3718,326.8148914
257.94192,3710,326.1116856
257.94192,3699,325.1447777
252.18848,3686,324.0020683
257.94192,3668,322.4198552
257.94192,3652,321.0134436
271.89521,3632,319.2554292
257.94192,3615,317.7611169
257.94192,3598,316.2668046
271.89521,3577,314.4208893
240.93568,3560,312.926577
244.23517,3542,311.344364
271.89521,3520,309.4105481
244.23517,3504,308.0041365
252.18848,3487,306.5098242
271.89521,3471,305.1034126
252.18848,3448,303.081696
271.89521,3430,301.4994829
271.89521,3414,300.0930714
234.71715,3394,298.3350569
240.93568,3377,296.8407446
240.93568,3359,295.2585315
225.5642,3337,293.3247156
234.71715,3321,291.918304
234.71715,3303,290.336091
257.94192,3276,287.9627715
229.65264,3261,286.6442606
225.5642,3247,285.4136505
234.71715,3218,282.8645295
252.18848,3207,281.8976215
234.71715,3190,280.4033092
234.71715,3170,278.6452947
234.71715,3154,277.2388831
225.5642,3135,275.5687694
252.18848,3110,273.3712513
252.18848,3098,272.3164426
225.5642,3080,270.7342296
252.18848,3063,269.2399173
234.71715,3042,267.3940021
225.5642,3024,265.811789
234.71715,3006,264.229576
234.71715,2985,262.3836608
234.71715,2969,260.9772492
234.71715,2952,259.4829369
225.5642,2928,257.3733195
252.18848,2911,255.8790072
252.18848,2898,254.7362978
252.18848,2880,253.1540848
219.2089,2855,250.9565667
225.5642,2841,249.7259566
252.18848,2825,248.319545
225.5642,2799,246.0341262
252.18848,2786,244.8914168
252.18848,2769,243.3971044
225.5642,2744,241.1995863
234.71715,2731,240.0568769
219.2089,2714,238.5625646
240.93568,2684,235.9255429
225.5642,2667,234.4312306
240.93568,2655,233.3764219
240.93568,2635,231.6184074
240.93568,2616,229.9482937
225.5642,2602,228.7176836
240.93568,2583,227.0475698
225.5642,2568,225.7290589
240.93568,2551,224.2347466
225.5642,2522,221.6856256
225.5642,2509,220.5429162
225.5642,2495,219.3123061
225.5642,2474,217.4663909
225.5642,2451,215.4446743
225.5642,2440,214.4777663
234.71715,2418,212.5439504
211.69764,2409,211.7528438
234.71715,2403,211.2254395
234.71715,2391,210.1706308
211.69764,2393,210.3464323
219.2089,2396,210.6101344
240.93568,2404,211.3133402
240.93568,2412,212.016546
234.71715,2422,212.8955533
225.5642,2433,213.8624612
234.71715,2446,215.0051706
225.5642,2467,216.8510858
225.5642,2481,218.081696
211.69764,2497,219.4881075
219.2089,2521,221.5977249
211.69764,2535,222.8283351
216.22615,2555,224.5863495
225.5642,2575,226.344364
225.5642,2589,227.5749741
225.5642,2605,228.9813857
252.18848,2629,231.0910031
225.5642,2643,232.3216132
225.5642,2664,234.1675284
225.5642,2680,235.57394
234.71715,2701,237.4198552
225.5642,2717,238.8262668
225.5642,2733,240.2326784
240.93568,2756,242.254395
252.18848,2774,243.8366081
225.5642,2788,245.0672182
252.18848,2815,247.4405377
234.71715,2827,248.4953464
225.5642,2848,250.3412616
