impedance,present_position,angle
20.3665,2384,209.5553
20.3665,2386,209.7311
20.8773,2389,209.9948
20.8773,2393,210.3464
20.3665,2397,210.698
20.3665,2403,211.2254
20.3665,2407,211.577
20.3665,2412,212.0165
20.3665,2417,212.456
20.1212,2422,212.8956
20.3665,2426,213.2472
20.3665,2431,213.6867
20.3665,2437,214.2141
20.1212,2442,214.6536
20.3665,2446,215.0052
20.3665,2452,215.5326
20.1212,2457,215.9721
20.1212,2466,216.7632
20.3665,2469,217.0269
20.3665,2472,217.2906
20.8773,2477,217.7301
20.3665,2482,218.1696
20.8773,2487,218.6091
20.3665,2492,219.0486
20.3665,2497,219.4881
20.3665,2502,219.9276
20.3665,2507,220.3671
20.3665,2512,220.8066
20.3665,2517,221.2461
20.3665,2522,221.6856
20.3665,2527,222.1251
20.3665,2533,222.6525
20.3665,2537,223.0041
20.3665,2542,223.4436
20.3665,2547,223.8831
20.3665,2552,224.3226
20.3665,2557,224.7622
20.3665,2562,225.2017
20.3665,2567,225.6412
20.3665,2572,226.0807
20.3665,2578,226.6081
20.3665,2582,226.9597
20.1212,2588,227.4871
20.3665,2593,227.9266
20.3665,2597,228.2782
20.1212,2601,228.6298
20.3665,2607,229.1572
20.3665,2612,229.5967
20.3665,2617,230.0362
20.3665,2622,230.4757
19.8775,2627,230.9152
20.3665,2632,231.3547
20.3665,2637,231.7942
20.3665,2643,232.3216
20.3665,2647,232.6732
20.1212,2652,233.1127
19.8775,2658,233.6401
20.3665,2662,233.9917
19.8775,2667,234.4312
20.3665,2672,234.8707
19.8775,2677,235.3102
19.8775,2682,235.7497
19.8775,2687,236.1892
19.8775,2692,236.6287
19.6492,2697,237.0683
19.8775,2702,237.5078
19.6492,2707,237.9473
19.8775,2713,238.4747
19.8775,2718,238.9142
19.8775,2722,239.2658
19.8775,2727,239.7053
19.8775,2732,240.1448
19.8775,2737,240.5843
19.6492,2742,241.0238
19.6492,2747,241.4633
19.6492,2752,241.9028
19.6492,2757,242.3423
19.6492,2762,242.7818
19.4089,2767,243.2213
19.6492,2772,243.6608
19.6492,2777,244.1003
19.8775,2782,244.5398
19.8775,2787,244.9793
19.4089,2791,245.3309
19.8775,2796,245.7704
19.8775,2802,246.2978
19.4089,2807,246.7373
19.6492,2812,247.1768
19.1962,2817,247.6163
19.4089,2822,248.0558
19.8775,2827,248.4953
19.4089,2833,249.0228
19.6492,2837,249.3744
19.6492,2842,249.8139
19.8775,2847,250.2534
19.6492,2852,250.6929
19.1962,2857,251.1324
19.8775,2861,251.484
19.8775,2867,252.0114
19.6492,2872,252.4509
19.1962,2877,252.8904
19.4089,2882,253.3299
19.8775,2887,253.7694
19.6492,2892,254.2089
