angle,impedance,predicted_impedance,difference,,,,,
293.9400207,18.68068,18.68560977,0.004929774,,0.026382728,,,
259.8345398,18.4163,18.40992411,0.006375886,,0.034620883,,,
270.7342296,18.4573,18.47538085,0.018080847,,0.097864544,,Error Rate ,5.42%
301.6752844,18.78102,18.80079805,0.019778045,,0.105197902,,Accuracy ,94.58%
264.0537746,18.4573,18.4347303,0.022569703,,0.122280632,,,
256.6701138,18.4163,18.39098333,0.025316674,,0.13746884,,,
314.2450879,19.09196,19.06234787,0.029612128,,0.155102607,,,
262.7352637,18.4573,18.42697853,0.030321465,,0.164278987,,,
266.1633919,18.4163,18.44724103,0.03094103,,0.167727142,,,
266.5149948,18.4163,18.4493468,0.0330468,,0.179121787,,,
298.3350569,18.78102,18.74733241,0.033687588,,0.179370387,,,
231.5305067,18.13675,18.1755473,0.038797296,,0.213458747,,,
267.6577042,18.4163,18.45624585,0.039945846,,0.216435383,,,
231.8821096,18.13675,18.17993218,0.043182181,,0.237526635,,,
225.6411582,18.13675,18.0936184,0.0431316,,0.237813278,,,
303.4332989,18.78102,18.83141342,0.050393419,,0.267602958,,,
275.7445708,18.4573,18.5091779,0.051877902,,0.280282044,,,
233.2006205,18.13675,18.19590669,0.059156693,,0.325109895,,,
257.2854188,18.4573,18.39471393,0.062586073,,0.339085745,,,
272.5801448,18.4163,18.48738462,0.071084621,,0.384503391,,,
272.6680455,18.4163,18.48796802,0.071668023,,0.387646834,,,
272.6680455,18.4163,18.48796802,0.071668023,,0.387646834,,,
272.8438469,18.4163,18.48913827,0.072838274,,0.3939517,,,
275.7445708,18.5832,18.5091779,0.074022098,,0.39832805,,,
318.3764219,19.09196,19.17240347,0.080443473,,0.419579491,,,
305.0155119,18.78102,18.86051047,0.079490475,,0.42146513,,,
311.6080662,19.09196,18.99875085,0.093209154,,0.488211551,,,
311.5201655,19.09196,18.99671632,0.095243679,,0.498868002,,,
281.106515,18.4573,18.55073136,0.093431361,,0.503653249,,,
217.0268873,17.84471,17.94056096,0.095850961,,0.534269585,,,
306.1582213,18.78102,18.88246726,0.101447261,,0.537256385,,,
245.6825233,18.4163,18.31622429,0.100075708,,0.54340833,,,
311.0806618,19.09196,18.98662458,0.10533542,,0.551726593,,,
310.2895553,19.09196,18.96879614,0.123163862,,0.645108529,,,
220.9824199,18.13675,18.01620206,0.120547943,,0.664661216,,,
279.9638056,18.4163,18.54130368,0.125003675,,0.674190323,,,
290.6876939,18.78102,18.64560013,0.135419869,,0.721046404,,,
240.3205791,18.13675,18.27062682,0.133876816,,0.732743419,,,
286.1168563,18.4573,18.596482,0.139182002,,0.748431891,,,
320.57394,19.09196,19.23642134,0.144461335,,0.750978224,,,
220.0155119,18.13675,17.99859091,0.138159086,,0.761763193,,,
282.1613237,18.4163,18.55974403,0.143444028,,0.772877192,,,
244.8914168,18.4573,18.30997349,0.147326507,,0.798201835,,,
239.6173733,18.4163,18.26403137,0.152268633,,0.826814467,,,
219.2244054,18.13675,17.98376602,0.152983977,,0.843502704,,,
309.0589452,18.78102,18.94190895,0.160888953,,0.849380881,,,
243.1334023,18.13675,18.29552186,0.158771858,,0.867818143,,,
216.9389866,17.78307,17.93876936,0.155699362,,0.86794896,,,
260.9772492,18.5832,18.41665723,0.166542773,,0.896200727,,,
