angle,predicted_impedance,impedance,,,,,
312.1354705,19.89763014,18.87698,1.020650142,,5.129506049,,10.96057098
210.1706308,18.56588412,22.02314,3.457255884,,15.69828773,,
210.2585315,18.56588412,21.21359,2.647705884,,12.48117779,,
210.2585315,18.5668711,22.02314,3.456268901,,15.69380616,,
210.434333,18.56557918,21.26849,2.702910822,,12.70852243,,
210.5222337,18.56796438,22.66158,4.093615621,,18.06412272,,
210.7859359,18.56958314,20.63662,2.06703686,,10.01635374,,
211.6649431,18.57493917,22.02314,3.448200831,,15.65717164,,
211.8407446,18.56653017,21.26849,2.70195983,,12.70405106,,
212.1044467,18.57961645,21.21359,2.633973552,,12.41644414,,
212.5439504,18.57335114,20.63662,2.063268856,,9.99809492,,
212.8076525,18.5835267,20.63662,2.053093298,,9.948786663,,
213.0713547,18.57778874,21.21359,2.635801258,,12.42505987,,
213.3350569,18.5884982,21.26849,2.679991795,,12.60076195,,
215.0930714,18.59230486,21.26849,2.676185143,,12.58286387,,
215.4446743,18.6085308,22.02314,3.414609201,,15.50464285,,
216.0599793,18.61708749,20.01185,1.39476251,,6.969683014,,
216.3236815,18.60400715,20.01185,1.407842849,,7.035045979,,
216.9389866,18.61132556,22.02314,3.411814441,,15.49195274,,
217.4663909,18.63347676,20.63662,2.00314324,,9.706740928,,
217.6421923,18.61806935,22.72856,4.110490646,,18.0851345,,
218.2574974,18.62613364,20.63662,2.010486356,,9.742323867,,
218.2574974,18.63996641,22.02314,3.383173592,,15.36190385,,
218.8728025,18.63347676,21.26849,2.63501324,,12.38928217,,
219.5760083,18.64106454,22.66158,4.020515456,,17.7415496,,
220.3671148,18.65000867,22.72856,4.078551331,,17.94460947,,
220.9824199,18.67707752,21.26849,2.591412483,,12.18428052,,
221.5977249,18.66746014,22.02314,3.355679858,,15.23706364,,
222.3009307,18.69682748,22.02314,3.326312516,,15.10371598,,
222.9162358,18.68687524,21.26849,2.581614756,,12.13821365,,
224.0589452,18.70311509,23.58118,4.878064915,,20.68626301,,
224.2347466,18.72350967,20.63662,1.91311033,,9.270463525,,
224.8500517,18.73382352,23.58118,4.847356483,,20.55603869,,
225.4653568,18.72350967,22.02314,3.29963033,,14.98256075,,
225.5532575,18.74418722,21.21359,2.469402785,,11.64066424,,
226.2564633,18.75198091,22.02314,3.271159088,,14.85328199,,
227.4870734,18.75068112,23.58118,4.830498883,,20.48455117,,
227.926577,18.76238548,22.02314,3.260754524,,14.80603821,,
228.893485,18.79094149,21.26849,2.477548509,,11.64891588,,
229.9482937,18.80767685,20.63662,1.828943148,,8.862610002,,
230.0361944,18.79094149,21.26849,2.477548509,,11.64891588,,
230.5635988,18.82043285,20.01185,1.19141715,,5.953558268,,
230.6514995,18.79997139,23.58118,4.781208609,,20.27552739,,
231.1789038,18.80895758,22.66158,3.852622425,,17.00067879,,
231.442606,18.82928682,21.26849,2.439203184,,11.46862417,,
231.7063082,18.81661851,22.02314,3.206521487,,14.55978342,,
232.0579111,18.83807008,23.58118,4.74310992,,20.11396342,,
232.2337125,18.82423559,22.72856,3.904324411,,17.17805444,,
232.7611169,18.83180385,21.26849,2.436686146,,11.45678958,,
233.2885212,18.83931864,23.58118,4.741861358,,20.10866868,,
233.9038263,18.84677557,22.02314,3.176364428,,14.42284991,,
234.1675284,18.86875954,22.02314,3.154380456,,14.32302776,,
235.3981386,18.8854114,20.01185,1.126438601,,5.628857905,,
235.3981386,18.86875954,22.66158,3.792820456,,16.73678735,,
235.8376422,18.87594672,22.02314,3.14719328,,14.2903931,,
236.1013444,18.89473506,23.58118,4.686444941,,19.87366595,,
236.3650465,18.88187834,21.26849,2.386611661,,11.2213498,,
236.8045502,18.90277308,21.26849,2.365716925,,11.12310712,,
237.2440538,18.89589031,24.45339,5.557499692,,22.726909,,
237.4198552,18.90957084,22.02314,3.113569162,,14.13771679,,
237.7714581,18.90048817,22.72856,3.828071833,,16.8425621,,
237.9472596,18.91849914,20.63662,1.718120863,,8.325592383,,
238.2109617,18.90731448,23.58118,4.673865519,,19.82032078,,
238.6504654,18.92726933,20.01185,1.084580669,,5.419692178,,
238.7383661,18.91293726,20.63662,1.723682743,,8.352543889,,
239.1778697,18.91960413,20.01185,1.092245874,,5.457995505,,
239.3536711,18.93374138,21.26849,2.334748621,,10.97750062,,
239.705274,18.92509178,22.02314,3.098048218,,14.06724118,,
240.2326784,18.93159417,21.26849,2.336895831,,10.98759635,,
240.4963806,18.94951881,22.72856,3.779041187,,16.62683948,,
240.8479835,18.93800521,23.58118,4.643174789,,19.69017152,,
241.1995863,18.95870608,23.58118,4.622473918,,19.60238596,,
241.2874871,18.94536816,20.01185,1.066481835,,5.329251595,,
241.9027921,18.95055,22.72856,3.778009998,,16.6223025,,
241.9906929,18.96471397,22.02314,3.058426032,,13.88732956,,
242.3422958,18.95769567,21.26849,2.310794334,,10.86487256,,
242.5180972,18.97160492,21.26849,2.29688508,,10.79947415,,
243.1334023,18.97932484,20.63662,1.657295156,,8.030845922,,
243.3971044,18.96866723,22.66158,3.692912767,,16.2959192,,
