angle,predicted_impedance,impedance,Error,,slope_x,slope_y,slope,imp
329.2761117,19.96021568,19.95911,,,,, ,
329.1003102,19.62609567,19.62461,,,-0.175801448,-0.334120011,1.90055324,19.62498999
328.8366081,19.62627396,19.62461,,,-0.263702172,0.000178292,-0.00067611,19.62478829
328.4850052,19.4896346,19.62461,,,-0.351602896,-0.136639357,0.388618405,19.48797064
314.860393,20.46564465,20.48293,,,-13.6246122,0.976010046,-0.071635804,20.60062005
313.9813857,20.46871237,20.48293,,,-0.879007239,0.003067724,-0.003489987,20.48599772
313.2781799,20.4684056,20.48293,,,-0.703205791,-0.000306773,0.000436249,20.48262323
312.5749741,20.12297674,20.13964,,,-0.703205791,-0.34542886,0.491220158,20.13750114
311.7838676,20.46976236,20.48293,,,-0.791106515,0.34678562,-0.438355156,20.48642562
311.1685626,19.93581936,19.95106,,,-0.615305067,-0.533942993,0.867769536,19.94898701
310.4653568,20.1184045,20.13964,,,-0.703205791,0.182585137,-0.259646804,20.13364514
309.4984488,20.12598947,20.13964,,,-0.966907963,0.007584972,-0.007844564,20.14722497
308.8831437,20.46722762,20.48293,,,-0.615305067,0.341238148,-0.55458368,20.48087815
308.179938,20.4691217,20.48293,,,-0.703205791,0.001894078,-0.00269349,20.48482408
307.5646329,20.12182136,20.13964,,,-0.615305067,-0.347300341,0.564436017,20.13562966
306.7735264,20.12376599,20.13964,,,-0.791106515,0.001944629,-0.002458113,20.14158463
306.0703206,20.46903242,20.48293,,,-0.703205791,0.345266434,-0.490989179,20.48490643
305.4550155,20.46705832,20.48293,,,-0.615305067,-0.001974097,0.003208322,20.4809559
304.7518097,20.12182429,20.13964,,,-0.703205791,-0.345234031,0.490943099,20.13769597
303.9607032,20.46518435,20.48293,,,-0.791106515,0.343360055,-0.434025063,20.48300005
303.1695967,20.46723691,20.48293,,,-0.791106515,0.002052562,-0.002594546,20.48498256
302.4663909,20.47122147,20.48293,,,-0.703205791,0.003984559,-0.005666277,20.48691456
301.9389866,20.46162664,20.48293,,,,,,
300.9720786,20.46758827,20.48293,,,,,,
300.2688728,20.12633401,20.13964,,,,,,
299.6535677,20.12458054,20.13964,,,,,,
298.9503619,20.46434571,20.48293,,,,,,
298.0713547,20.4682692,20.48293,,,,,,
297.3681489,20.13057568,20.13964,,,,,,
296.9286453,20.12175049,20.13964,,,,,,
296.0496381,20.4671145,20.48293,,,,,,
295.2585315,20.4708238,20.48293,,,,,,
294.6432265,20.46762414,20.48293,,,,,,
293.85212,20.4695768,20.48293,,,,,,
293.1489142,20.12978451,20.13964,,,,,,
292.6215098,20.12034836,20.13964,,,,,,
291.5667011,19.9385154,19.95106,,,,,,
290.8634953,20.13193012,20.13964,,,,,,
290.4239917,20.46484051,20.48293,,,,,,
289.369183,19.93932794,19.95106,,,,,,
288.6659772,20.13101397,20.13964,,,,,,
288.1385729,19.9411842,19.95106,,,,,,
287.5232678,20.12724007,20.13964,,,,,,
286.7321613,19.93899422,19.95106,,,,,,
285.9410548,20.12919418,20.13964,,,,,,
285.237849,19.62449422,19.63342,,,,,,
284.622544,20.47543737,20.48293,,,,,,
284.0951396,20.11802518,20.13964,,,,,,
282.5129266,20.13271795,20.13964,,,,,,
281.9855222,20.47726762,20.48293,,,,,,
281.5460186,20.4762607,20.48293,,,,,,
281.0186143,19.62260358,19.63342,,,,,,
280.139607,19.62399755,19.63342,,,,,,
279.3485005,19.62729859,19.63342,,,,,,
278.8210962,19.9450638,19.95106,,,,,,
278.2936918,20.47416453,20.48293,,,,,,
277.5025853,19.6239922,19.63342,,,,,,
276.6235781,19.94555522,19.95106,,,,,,
276.0961737,19.62802532,19.63342,,,,,,
275.5687694,19.6229479,19.63342,,,,,,
274.5139607,19.94513795,19.95106,,,,,,
273.8986556,19.62599715,19.63342,,,,,,
273.1075491,20.47809543,20.48293,,,,,,
272.5801448,19.62477955,19.63342,,,,,,
271.6132368,19.94722274,19.95106,,,,,,
271.1737332,19.62739022,19.63342,,,,,,
270.4705274,19.94297449,19.95106,,,,,,
269.5036194,20.47789839,20.48293,,,,,,
268.8883144,20.47797916,20.48293,,,,,,
268.2730093,19.94687575,19.95106,,,,,,
267.745605,19.62384552,19.63342,,,,,,
266.5149948,20.13627693,20.13964,,,,,,
266.0754912,19.94440876,19.95106,,,,,,
265.196484,20.47832504,20.48293,,,,,,
264.5811789,19.94389025,19.95106,,,,,,
263.6142709,19.62824392,19.63342,,,,,,
