angle,predicted_impedance,impedance,Difference,
209.9069286,20,nan,#VALUE!,#VALUE!
210.0827301,nan,20.91288,#VALUE!,#VALUE!
210.434333,20.91165514,20.91288,0.005856978,0.001224863
210.7859359,20.91155787,20.5044,1.947047057,0.407157872
211.2254395,20.50261535,20.5044,0.008703754,0.001784652
211.6649431,20.50247432,20.91288,1.962454152,0.410405682
212.016546,20.9112419,nan,#VALUE!,#VALUE!
212.4560496,nan,20.16752,#VALUE!,#VALUE!
212.8955533,20.16523057,19.88815,1.374051067,0.277080566
213.3350569,20.16282199,nan,#VALUE!,#VALUE!
213.7745605,20.16029976,nan,#VALUE!,#VALUE!
214.3019648,20.15713062,nan,#VALUE!,#VALUE!
214.7414685,20.15437711,19.88815,1.320939419,0.266227112
215.0930714,20.15210434,20.16752,0.076438065,0.015415662
215.6204757,20.1485846,nan,#VALUE!,#VALUE!
216.0599793,20.14555553,nan,#VALUE!,#VALUE!
216.4994829,20.14244437,19.88815,1.262480176,0.254294367
216.9389866,20.13925582,20.16752,0.140147045,0.028264183
217.3784902,20.13599448,nan,#VALUE!,#VALUE!
218.081696,20.1306361,nan,#VALUE!,#VALUE!
218.3453981,20.1285853,nan,#VALUE!,#VALUE!
218.697001,20.12581814,20.16752,0.206777339,0.041701861
219.1365047,20.12230955,nan,#VALUE!,#VALUE!
219.5760083,20.11874963,nan,#VALUE!,#VALUE!
220.0155119,20.11514236,nan,#VALUE!,#VALUE!
220.5429162,20.1107566,20.16752,0.281459519,0.056763405
220.8945191,20.10780122,19.88815,1.092368171,0.21965122
221.3340228,20.10407485,nan,#VALUE!,#VALUE!
221.7735264,20.10031611,nan,#VALUE!,#VALUE!
222.21303,20.0965285,20.56929,2.298385103,0.472761497
222.6525336,20.09271545,20.16752,0.370915963,0.074804551
223.0041365,20.08964892,19.88815,1.002998695,0.201498916
223.4436401,20.08579836,nan,#VALUE!,#VALUE!
223.9710445,20.08115634,nan,#VALUE!,#VALUE!
224.3226474,20.07805116,20.16752,0.443628364,0.089468839
224.6742503,20.07493937,nan,#VALUE!,#VALUE!
225.0258532,20.07182245,19.88815,0.915076089,0.183672448
225.5532575,20.0671406,nan,#VALUE!,#VALUE!
225.9927611,20.06323614,20.16752,0.517088157,0.104283857
226.5201655,20.05855126,nan,#VALUE!,#VALUE!
226.8717684,20.05543033,nan,#VALUE!,#VALUE!
227.3991727,20.05075559,19.88815,0.810969869,0.162605586
227.8386763,20.04686869,nan,#VALUE!,#VALUE!
228.1023785,20.0445414,20.16752,0.609785456,0.122978604
228.5418821,20.04067219,nan,#VALUE!,#VALUE!
228.893485,20.03758673,19.88815,0.745782068,0.149436729
229.3329886,20.03374405,nan,#VALUE!,#VALUE!
229.7724922,20.02991897,20.56929,2.622215091,0.539371026
231.1789038,20.01781931,nan,#VALUE!,#VALUE!
231.2668046,20.01707109,20.27314,1.263094469,0.25606891
