angle,predicted_impedance,impedance,Error
210.0827301,20,nan,#VALUE!
210.2585315,nan,19.52031,#VALUE!
212.2802482,19.7157099,nan,#VALUE!
212.6318511,nan,20.4591,#VALUE!
213.0713547,20.45676224,nan,#VALUE!
213.9503619,20.45174137,nan,#VALUE!
214.3898656,20.44906903,nan,#VALUE!
216.5873837,20.43429382,nan,#VALUE!
217.8179938,20.42514596,nan,#VALUE!
218.697001,20.41829926,nan,#VALUE!
219.1365047,20.41479068,nan,#VALUE!
219.5760083,20.41123075,nan,#VALUE!
222.21303,20.38900962,nan,#VALUE!
222.6525336,20.38519657,nan,#VALUE!
224.4105481,20.3697549,nan,#VALUE!
226.2564633,20.35337451,nan,#VALUE!
227.926577,20.33857361,nan,#VALUE!
228.3660807,20.33469944,nan,#VALUE!
233.2006205,20.29337331,nan,#VALUE!
234.8707342,20.27989728,nan,#VALUE!
236.2771458,20.26895886,nan,#VALUE!
237.1561531,20.26232851,nan,#VALUE!
237.5956567,20.25907548,nan,#VALUE!
237.9472596,20.25650357,nan,#VALUE!
240.9358842,20.2357818,nan,#VALUE!
243.5729059,20.21926022,nan,#VALUE!
244.803516,20.21212725,nan,#VALUE!
245.2430196,20.20966864,nan,#VALUE!
245.6825233,20.20725657,nan,#VALUE!
247.8800414,20.19588583,nan,#VALUE!
250.868666,20.18220049,nan,#VALUE!
253.417787,20.17203027,nan,#VALUE!
253.8572906,20.17040585,nan,#VALUE!
254.2967942,20.16881732,nan,#VALUE!
255.966908,20.1630928,nan,#VALUE!
258.1644261,20.15624611,nan,#VALUE!
258.6039297,20.15496064,nan,#VALUE!
260.2740434,20.15029991,nan,#VALUE!
262.0320579,20.14572753,nan,#VALUE!
264.5811789,20.13956144,nan,#VALUE!
265.3722854,20.13772925,nan,#VALUE!
266.1633919,20.13592392,nan,#VALUE!
268.0093071,20.13177823,nan,#VALUE!
269.6794209,20.1280512,nan,#VALUE!
270.4705274,20.12627516,nan,#VALUE!
271.2616339,20.12448352,nan,#VALUE!
272.1406412,20.1224669,nan,#VALUE!
272.9317477,20.12062194,nan,#VALUE!
277.6783868,20.10863099,nan,#VALUE!
278.557394,20.10618139,nan,#VALUE!
279.3485005,20.10390228,nan,#VALUE!
279.7880041,20.10260408,nan,#VALUE!
281.8097208,20.09631791,nan,#VALUE!
282.3371251,20.09458877,nan,#VALUE!
283.655636,20.09009574,nan,#VALUE!
284.9741468,20.08535201,nan,#VALUE!
286.5563599,20.0793194,nan,#VALUE!
287.4353671,20.07580572,nan,#VALUE!
288.2264736,20.07254433,nan,#VALUE!
