angle,impedance,predicted_impedance,difference,difference sq,
210.3464323,225.5642,304.1413229,78.57712285,6174.364235,
211.3133402,240.93568,298.2586931,57.32301306,3285.927826,
213.1592554,225.5642,287.4017495,61.83754954,3823.882533,
217.6421923,211.69764,263.0759737,51.37833372,2639.733176,
221.6856256,225.5642,243.6152875,18.05108748,325.8417592,
221.7735264,211.69764,243.2183538,31.52071377,993.5553966,
223.0041365,216.22615,237.7780155,21.55186555,464.4829087,
233.2885212,252.18848,200.8318675,51.35661246,2637.501643,
234.1675284,225.5642,198.3800087,27.18419128,738.9802555,
238.0351603,252.18848,188.9125326,63.27594738,4003.845517,
239.7931748,240.93568,185.3206244,55.61505558,3093.034407,
240.2326784,225.5642,184.4921289,41.07207114,1686.915028,
241.8148914,225.5642,181.7396673,43.82453267,1920.589664,
244.8914168,252.18848,177.4187633,74.76971673,5590.51054,
245.0672182,225.5642,177.2129875,48.35121246,2337.839746,
246.0341262,252.18848,176.1607075,76.02777252,5780.222194,
248.319545,252.18848,174.2082294,77.98025063,6080.919488,
249.6380558,225.5642,173.4236484,52.14055157,2718.637118,
250.2533609,225.5642,173.1431118,52.42108824,2747.970492,
252.5387797,225.5642,172.5780391,52.98616085,2807.533242,
253.2419855,240.93568,172.5553623,68.38031772,4675.867851,
253.417787,225.5642,172.5608101,53.00338991,2809.359342,
256.6701138,234.71715,173.4636885,61.25346151,3751.986547,
257.2854188,252.18848,173.8057056,78.38277443,6143.859327,
259.0434333,252.18848,175.0830572,77.10542282,5945.246228,
259.4829369,234.71715,175.4718765,59.2452735,3510.002432,
259.6587384,240.93568,175.6351862,65.30049379,4264.154489,
263.7900724,225.5642,180.7530894,44.81111063,2008.035636,
264.229576,234.71715,181.4420685,53.27508146,2838.234305,
264.7569804,240.93568,182.3055299,58.63015013,3437.494504,
268.36091,225.5642,189.2769741,36.28722587,1316.762761,
270.0310238,240.93568,193.1413144,47.79436561,2284.301384,
273.0196484,240.93568,201.0580939,39.8775861,1590.221873,
274.5139607,252.18848,205.498407,46.69007303,2179.96292,
276.3598759,225.5642,211.4270691,14.13713086,199.858469,
276.5356774,240.93568,212.017273,28.91840702,836.2742646,
276.975181,240.93568,213.5122369,27.42344311,752.045232,
278.8210962,240.93568,220.0945805,20.84109948,434.3514275,
280.6670114,240.93568,227.1671852,13.76849477,189.5714482,
286.2926577,252.18848,251.7456225,0.442857499,0.196122764,
286.9079628,211.69764,254.7101475,43.01250748,1850.0758,
290.1602896,240.93568,271.2847051,30.34902512,921.0633257,
292.5336091,240.93568,284.3401638,43.40448379,1883.949213,
293.3247156,225.5642,288.8720793,63.30787925,4007.887575,
295.434333,240.93568,301.397422,60.46174197,3655.622242,
295.5222337,225.5642,301.9332074,76.36900739,5832.22529,
296.6649431,252.18848,308.9995846,56.81110462,3227.501608,
297.1923475,240.93568,312.324357,71.38867697,5096.3432,
297.2802482,252.18848,312.8823764,60.69389644,3683.749065,
298.598759,234.71715,321.3860748,86.66892482,7511.502529,
300.532575,225.5642,334.31063,108.74643,11825.78604,
302.0268873,234.71715,344.6663155,109.9491655,12088.81899,
302.4663909,252.18848,347.7732488,95.58476885,9136.448036,
310.0258532,252.18848,405.5626002,153.3741202,23523.62075,
,,,,,
,,,,MAE,55.42471743
,,,,MSE,3764.160507
