angle ,impedance ,predicted impedance,Difference ,ABS,difference sq,,,,
210.3464323,225.5642,246.3283173,20.76411735,20.76411735,431.1485693,,,,
211.3133402,240.93568,240.696451,-0.23922896,0.23922896,0.057230495,,,,
213.1592554,225.5642,231.6725579,6.108357941,6.108357941,37.31203674,,,,
217.6421923,211.69764,217.966465,6.268825023,6.268825023,39.29816717,,,,
221.6856256,225.5642,213.5903143,-11.97388571,11.97388571,143.373939,,,,
221.7735264,211.69764,213.5630329,1.865392908,1.865392908,3.479690701,,,,
223.0041365,216.22615,213.4419744,-2.784175559,2.784175559,7.751633543,,,,
233.2885212,252.18848,225.5343674,-26.65411263,26.65411263,710.4417201,,,,
234.1675284,225.5642,227.1807137,1.616513706,1.616513706,2.613116562,,,,
238.0351603,252.18848,234.652913,-17.53556697,17.53556697,307.496109,,,,
239.7931748,240.93568,237.9955874,-2.94009263,2.94009263,8.644144673,,,,
240.2326784,225.5642,238.811314,13.24711395,13.24711395,175.486028,,,,
241.8148914,225.5642,241.6547555,16.09055547,16.09055547,258.9059753,,,,
244.8914168,252.18848,246.6195464,-5.568933604,5.568933604,31.01302149,,,,
245.0672182,225.5642,246.8757009,21.3115009,21.3115009,454.1800706,,,,
246.0341262,252.18848,248.2237451,-3.964734928,3.964734928,15.71912305,,,,
248.319545,252.18848,250.9653101,-1.22316992,1.22316992,1.496144653,,,,
249.6380558,225.5642,252.2358379,26.67163795,26.67163795,711.3762709,,,,
250.2533609,225.5642,252.7455346,27.18133455,27.18133455,738.8249479,,,,
252.5387797,225.5642,254.1517927,28.5875927,28.5875927,817.2504564,,,,
253.2419855,240.93568,254.4251198,13.48943979,13.48943979,181.9649858,,,,
253.417787,225.5642,254.4814736,28.9172736,28.9172736,836.2087125,,,,
256.6701138,234.71715,254.645548,19.92839798,19.92839798,397.141046,,,,
257.2854188,252.18848,254.4876834,2.299203353,2.299203353,5.286336058,,,,
259.0434333,252.18848,253.7067286,1.518248583,1.518248583,2.30507876,,,,
259.4829369,234.71715,253.4358391,18.71868908,18.71868908,350.3893209,,,,
259.6587384,240.93568,253.3191047,12.38342469,12.38342469,153.3492071,,,,
263.7900724,225.5642,249.2475923,23.68339226,23.68339226,560.9030689,,,,
264.229576,234.71715,248.6718524,13.95470243,13.95470243,194.7337199,,,,
264.7569804,240.93568,247.9472449,7.011564881,7.011564881,49.16204208,,,,
268.36091,225.5642,242.0965944,16.53239436,16.53239436,273.3200633,,,,
270.0310238,240.93568,238.9284749,-2.007205061,2.007205061,4.028872157,,,,
273.0196484,240.93568,232.7410757,-8.19460433,8.19460433,67.15154013,,,,
274.5139607,252.18848,229.4850674,-22.70341264,22.70341264,515.4449455,,,,
276.3598759,225.5642,225.4066763,-0.157523685,0.157523685,0.024813711,,,,
276.5356774,240.93568,225.0182779,-15.91740207,15.91740207,253.3636887,,,,
276.975181,240.93568,224.0491264,-16.88655363,16.88655363,285.1556935,,,,
278.8210962,240.93568,220.0375332,-20.89814678,20.89814678,436.7325388,,,,
280.6670114,240.93568,216.2067357,-24.72894431,24.72894431,611.5206867,,,,
286.2926577,252.18848,206.9717046,-45.21677537,45.21677537,2044.556775,,,,
286.9079628,211.69764,206.3002145,-5.397425458,5.397425458,29.13220157,,,,
290.1602896,240.93568,204.3516647,-36.58401527,36.58401527,1338.390173,,,,
292.5336091,240.93568,205.0060501,-35.92962989,35.92962989,1290.938304,,,,
293.3247156,225.5642,205.6901075,-19.87409251,19.87409251,394.9795531,,,,
295.434333,240.93568,208.8166481,-32.11903195,32.11903195,1031.632213,,,,
295.5222337,225.5642,208.9910618,-16.57313817,16.57313817,274.6689088,,,,
296.6649431,252.18848,211.6051186,-40.58336137,40.58336137,1647.00922,,,,
297.1923475,240.93568,213.0373129,-27.89836707,27.89836707,778.3188852,,,,
297.2802482,252.18848,213.2904025,-38.89807746,38.89807746,1513.06043,,,,
298.598759,234.71715,217.600567,-17.11658301,17.11658301,292.9774139,,,,
300.532575,225.5642,225.7873141,0.223114066,0.223114066,0.049779886,,,,
302.0268873,234.71715,233.7784216,-0.938728373,0.938728373,0.881210958,,,,
302.4663909,252.18848,236.4252897,-15.76319035,15.76319035,248.47817,,,,
310.0258532,252.18848,306.8207134,54.63223345,54.63223345,2984.680932,,,,
,,,,,,Degree ,,,4
,,,,,,Mean Absolute Error,,,16.67176168
,,,,,,MSE,,,443.403869
