angle ,impedance ,impedance predicted ,,difference,,difference sq.,,,,
210.3464323,225.5642,239.5968074,,14.03260736,14.03260736,196.9140693,,,,
211.3133402,240.93568,236.0315353,,-4.904144703,4.904144703,24.05063527,,,,
213.1592554,225.5642,230.264712,,4.700512041,4.700512041,22.09481345,,,,
217.6421923,211.69764,221.3292112,,9.631571151,9.631571151,92.76716284,,,,
221.6856256,225.5642,218.3944207,,-7.169779258,7.169779258,51.40573461,,,,
221.7735264,211.69764,218.375743,,6.678102998,6.678102998,44.59705965,,,,
223.0041365,216.22615,218.2918643,,2.065714253,2.065714253,4.267175375,,,,
233.2885212,252.18848,226.969907,,-25.21857297,25.21857297,635.9764226,,,,
234.1675284,225.5642,228.1888506,,2.624650624,2.624650624,6.888790898,,,,
238.0351603,252.18848,233.823598,,-18.36488202,18.36488202,337.2688916,,,,
239.7931748,240.93568,236.4024944,,-4.533185633,4.533185633,20.54977198,,,,
240.2326784,225.5642,237.0379259,,11.47372591,11.47372591,131.6463863,,,,
241.8148914,225.5642,239.2736202,,13.70942023,13.70942023,187.948203,,,,
244.8914168,252.18848,243.2705685,,-8.917911507,8.917911507,79.52914565,,,,
245.0672182,225.5642,243.4808238,,17.91662376,17.91662376,321.005407,,,,
246.0341262,252.18848,244.5956918,,-7.592788184,7.592788184,57.65043241,,,,
248.319545,252.18848,246.9195374,,-5.268942628,5.268942628,27.76175642,,,,
249.6380558,225.5642,248.0363304,,22.47213039,22.47213039,504.9966443,,,,
250.2533609,225.5642,248.4962809,,22.93208087,22.93208087,525.880333,,,,
252.5387797,225.5642,249.8391491,,24.27494913,24.27494913,589.2731553,,,,
253.2419855,240.93568,250.1307551,,9.195075146,9.195075146,84.54940694,,,,
253.417787,225.5642,250.1943942,,24.63019415,24.63019415,606.6464639,,,,
256.6701138,234.71715,250.6806393,,15.96348926,15.96348926,254.8329894,,,,
257.2854188,252.18848,250.6215733,,-1.566906694,1.566906694,2.455196588,,,,
259.0434333,252.18848,250.1830035,,-2.005476516,2.005476516,4.021936056,,,,
259.4829369,234.71715,250.0107886,,15.29363857,15.29363857,233.8953807,,,,
259.6587384,240.93568,249.9349053,,8.999225319,8.999225319,80.98605634,,,,
263.7900724,225.5642,247.0202547,,21.45605469,21.45605469,460.3622829,,,,
264.229576,234.71715,246.5861587,,11.86900871,11.86900871,140.8733678,,,,
264.7569804,240.93568,246.0351896,,5.099509585,5.099509585,26.00499801,,,,
268.36091,225.5642,241.4488939,,15.88469389,15.88469389,252.3235,,,,
270.0310238,240.93568,238.8902276,,-2.045452353,2.045452353,4.183875328,,,,
273.0196484,240.93568,233.7791206,,-7.156559352,7.156559352,51.21634176,,,,
274.5139607,252.18848,231.0360363,,-21.15244369,21.15244369,447.4258741,,,,
276.3598759,225.5642,227.5511632,,1.986963186,1.986963186,3.948022703,,,,
276.5356774,240.93568,227.2164583,,-13.71922167,13.71922167,188.2170432,,,,
276.975181,240.93568,226.3791167,,-14.55656327,14.55656327,211.8935342,,,,
278.8210962,240.93568,222.8792874,,-18.05639265,18.05639265,326.0333155,,,,
280.6670114,240.93568,219.4822927,,-21.45338728,21.45338728,460.2478258,,,,
286.2926577,252.18848,210.9653295,,-41.22315052,41.22315052,1699.348139,,,,
286.9079628,211.69764,210.3094876,,-1.388152372,1.388152372,1.926967008,,,,
290.1602896,240.93568,208.2189555,,-32.71672453,32.71672453,1070.384064,,,,
292.5336091,240.93568,208.527663,,-32.40801697,32.40801697,1050.279564,,,,
293.3247156,225.5642,209.0516538,,-16.51254615,16.51254615,272.6641804,,,,
295.434333,240.93568,211.6461228,,-29.28955724,29.28955724,857.8781633,,,,
295.5222337,225.5642,211.7951635,,-13.76903648,13.76903648,189.5863656,,,,
296.6649431,252.18848,214.0572758,,-38.13120421,38.13120421,1453.988735,,,,
297.1923475,240.93568,215.3136823,,-25.6219977,25.6219977,656.4867661,,,,
297.2802482,252.18848,215.5366866,,-36.65179338,36.65179338,1343.353958,,,,
298.598759,234.71715,219.3699676,,-15.34718237,15.34718237,235.5360067,,,,
300.532575,225.5642,226.7798386,,1.215638552,1.215638552,1.477777089,,,,
302.0268873,234.71715,234.1203011,,-0.596848905,0.596848905,0.356228615,,,,
302.4663909,252.18848,236.5694576,,-15.61902241,15.61902241,243.953861,,,,
310.0258532,252.18848,303.5804603,,51.39198027,51.39198027,2641.135636,,,,
,,,,,,,,,,
,,,,,,,Degree,,,5
,,,,,,,Mean Absolue Error,,,15.15658155
,,,,,,,MSE,,,359.6471447
