angle,impedance,predicted_impedance,difference,,,
210.3464323,225.5642,243.0438506,17.47965056,,,
211.3133402,240.93568,238.6975386,2.238141387,,,
211.8407446,219.2089,236.5110634,17.30216343,,,
213.1592554,225.5642,231.5924626,6.028262575,,,
215.0930714,234.71715,225.7193251,8.997824933,,,
217.6421923,211.69764,220.2072402,8.509600183,,,
217.6421923,216.22615,220.2072402,3.981090183,,,
217.8179938,219.2089,219.9136487,0.704748748,,,
218.2574974,211.69764,219.2258896,7.528249567,,,
219.3123061,225.5642,217.8365743,7.7276257,,,
219.4881075,211.69764,217.6397805,5.942140512,,,
220.5429162,225.5642,216.658517,8.905683012,,,
221.6856256,225.5642,215.9633323,9.600867696,,,
221.7735264,211.69764,215.9249554,4.227315428,,,
223.0041365,216.22615,215.6021779,0.623972087,,,
223.2678387,252.18848,215.5832432,36.6052368,,,
227.8386763,240.93568,217.6779304,23.25774959,,,
232.3216132,225.5642,223.1047154,2.459484608,,,
233.2885212,252.18848,224.5680014,27.62047862,,,
234.1675284,225.5642,225.9615057,0.39730566,,,
235.8376422,225.5642,228.7374583,3.173258343,,,
236.9803516,225.5642,230.704614,5.140414026,,,
236.9803516,234.71715,230.704614,4.012535974,,,
238.0351603,252.18848,232.5480704,19.64040961,,,
238.2109617,252.18848,232.856705,19.33177501,,,
238.5625646,225.5642,233.4745031,7.910303138,,,
239.7931748,240.93568,235.6347641,5.300915905,,,
240.2326784,225.5642,236.4022891,10.83808914,,,
241.5511892,225.5642,238.6775854,13.11338536,,,
241.8148914,225.5642,239.1260012,13.56180117,,,
242.4301965,252.18848,240.1613112,12.02716883,,,
244.8914168,252.18848,244.1003335,8.088146545,,,
245.0672182,225.5642,244.3665422,18.80234222,,,
246.0341262,252.18848,245.7876322,6.400847792,,,
248.319545,252.18848,248.8158065,3.37267353,,,
249.6380558,225.5642,250.3187844,24.75458435,,,
250.2533609,225.5642,250.9521694,25.38796943,,,
252.5387797,225.5642,252.8921315,27.32793151,,,
253.2419855,240.93568,253.3501086,12.41442856,,,
253.417787,225.5642,253.4539135,27.88971346,,,
253.9451913,240.93568,253.7392231,12.80354309,,,
254.7362978,252.18848,254.0925214,1.904041361,,,
255.1758014,225.5642,254.2493768,28.68517677,,,
255.5274043,240.93568,254.3542885,13.4186085,,,
256.6701138,234.71715,254.5669925,19.84984246,,,
257.2854188,252.18848,254.5990974,2.410617396,,,
257.9886246,240.93568,254.5641618,13.62848183,,,
259.0434333,252.18848,254.367126,2.178645988,,,
259.4829369,234.71715,254.2334857,19.51633573,,,
259.6587384,240.93568,254.1715149,13.23583491,,,
262.3836608,225.5642,252.5890679,27.02486789,,,
262.7352637,252.18848,252.3002683,0.111788333,,,
263.7900724,225.5642,251.319646,25.755446,,,
263.8779731,234.71715,251.2302615,16.51311147,,,
264.229576,234.71715,250.8610498,16.14389981,,,
264.7569804,240.93568,250.2724805,9.336800471,,,
265.811789,225.5642,248.9724209,23.40822091,,,
266.4270941,225.5642,248.1401199,22.57591988,,,
268.36091,225.5642,245.1864021,19.62220208,,,
269.5915202,240.93568,243.0566082,2.120928228,,,
270.0310238,240.93568,242.2523009,1.316620936,,,
272.0527404,240.93568,238.2851365,2.650543467,,,
272.7559462,234.71715,236.8129412,2.0957912,,,
273.0196484,240.93568,236.2500401,4.685639881,,,
273.9865564,240.93568,234.1403549,6.795325085,,,
274.5139607,252.18848,232.9623983,19.22608167,,,
275.6566701,219.2089,230.356053,11.14715303,,,
276.3598759,225.5642,228.7230729,3.15887287,,,
276.5356774,240.93568,228.3121889,12.62349114,,,
276.975181,240.93568,227.2813434,13.65433658,,,
278.8210962,240.93568,222.9253362,18.01034377,,,
280.4033092,234.71715,219.2231027,15.49404734,,,
280.6670114,240.93568,218.6148887,22.3207913,,,
286.2926577,252.18848,207.191856,44.99662397,,,
286.9079628,211.69764,206.2297548,5.46788518,,,
288.6659772,240.93568,203.9526121,36.98306791,,,
290.1602896,240.93568,202.6671501,38.26852985,,,
290.6876939,240.93568,202.3787759,38.55690407,,,
291.6546019,211.69764,202.0997208,9.597919174,,,
292.5336091,240.93568,202.1501765,38.78550352,,,
293.0610134,252.18848,202.330706,49.85777396,,,
293.3247156,225.5642,202.4655121,23.09868787,,,
293.7642192,234.71715,202.7587207,31.95842933,,,
294.7311272,240.93568,203.7208537,37.21482631,,,
295.434333,240.93568,204.7117731,36.22390688,,,
295.5222337,225.5642,204.8537539,20.71044607,,,
296.6649431,252.18848,207.0858554,45.10262463,,,
297.1923475,240.93568,208.3697172,32.5659628,,,
297.2802482,252.18848,208.5999983,43.5884817,,,
298.598759,234.71715,212.6414861,22.07566387,,,
299.565667,234.71715,216.3475261,18.36962387,,,
299.9172699,240.93568,217.8610408,23.07463916,,,
300.0051706,240.93568,218.2537031,22.68197695,,,
300.2688728,240.93568,219.4665331,21.46914694,,,
300.532575,225.5642,220.7323715,4.831828511,,,
302.0268873,234.71715,228.9537538,5.763396216,,,
302.4663909,252.18848,231.7278524,20.4606276,,,
305.2792141,240.93568,253.7240027,12.78832274,,,
310.0258532,252.18848,310.4057148,58.21723479,,,
,,,,,MAE ,16.51272394
angle,impedance,predicted_impedance,difference
