angle,impedance,predicted_impedance,difference,difference sq.,,
210.3464323,225.5642,245.080771,19.51657097,380.8965424,,
211.3133402,240.93568,239.9514323,0.98424775,0.968743633,,
213.1592554,225.5642,231.6831412,6.118941154,37.44144085,,
217.6421923,211.69764,218.9248871,7.227247118,52.2331009,,
221.6856256,225.5642,214.6581502,10.90604984,118.9419231,,
221.7735264,211.69764,214.6278674,2.930227392,8.586232569,,
223.0041365,216.22615,214.4465735,1.779576505,3.166892537,,
233.2885212,252.18848,225.3968165,26.79166347,717.7932315,,
234.1675284,225.5642,226.9395781,1.375378052,1.891664786,,
238.0351603,252.18848,234.014954,18.17352597,330.2770462,,
239.7931748,240.93568,237.2179587,3.717721258,13.82145135,,
240.2326784,225.5642,238.0033258,12.4391258,154.7318507,,
241.8148914,225.5642,240.753294,15.18909404,230.7085778,,
244.8914168,252.18848,245.609339,6.579141041,43.28509684,,
245.0672182,225.5642,245.862212,20.29801204,412.0092928,,
246.0341262,252.18848,247.1978077,4.99067226,24.90680961,,
248.319545,252.18848,249.9466972,2.241782804,5.02559014,,
249.6380558,225.5642,251.2438585,25.67965852,659.4448617,,
250.2533609,225.5642,251.7712756,26.20707558,686.8108105,,
252.5387797,225.5642,253.2706396,27.70643961,767.6467959,,
253.2419855,240.93568,253.5805988,12.64491884,159.8939725,,
253.417787,225.5642,253.6466516,28.0824516,788.6240879,,
256.6701138,234.71715,254.0244233,19.30727328,372.7708015,,
257.2854188,252.18848,253.9132576,1.724777589,2.974857732,,
259.0434333,252.18848,253.2740599,1.085579903,1.178483726,,
259.4829369,234.71715,253.0402206,18.3230706,335.7349162,,
259.6587384,240.93568,252.9384564,12.00277643,144.066642,,
263.7900724,225.5642,249.2334182,23.6692182,560.2318902,,
264.229576,234.71715,248.6971967,13.98004668,195.4417052,,
264.7569804,240.93568,248.0198437,7.084163689,50.18537517,,
268.36091,225.5642,242.4796412,16.9154412,286.132151,,
270.0310238,240.93568,239.4426128,1.493067216,2.229249711,,
273.0196484,240.93568,233.458554,7.477126038,55.90741379,,
274.5139607,252.18848,230.2857641,21.90271593,479.7289651,,
276.3598759,225.5642,226.2904437,0.72624373,0.527429955,,
276.5356774,240.93568,225.9087457,15.02693431,225.8087548,,
276.975181,240.93568,224.9553889,15.98029107,255.3697027,,
278.8210962,240.93568,220.994766,19.94091399,397.6400508,,
280.6670114,240.93568,217.1891261,23.74655389,563.8988217,,
286.2926577,252.18848,207.8658097,44.32267025,1964.499098,,
286.9079628,211.69764,207.1698066,4.527833396,20.50127526,,
290.1602896,240.93568,205.0468683,35.8888117,1288.006805,,
292.5336091,240.93568,205.5313385,35.40434149,1253.467396,,
293.3247156,225.5642,206.1519588,19.4122412,376.8351084,,
295.434333,240.93568,209.0957286,31.83995136,1013.782503,,
295.5222337,225.5642,209.262158,16.30204196,265.7565721,,
296.6649431,252.18848,211.7702648,40.41821519,1633.632119,,
297.1923475,240.93568,213.1523983,27.78328174,771.9107442,,
297.2802482,252.18848,213.397085,38.79139501,1504.772327,,
298.598759,234.71715,217.5796393,17.13751067,293.694272,,
300.532575,225.5642,225.5768137,0.012613678,0.000159105,,
302.0268873,234.71715,233.4230417,1.294108345,1.674716409,,
302.4663909,252.18848,236.0280771,16.1604029,261.1586219,,
310.0258532,252.18848,305.8585441,53.67006413,2880.475784,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,MAE,16.38761478
,,,,,MSE ,427.0203839
,,,,,Median ,16.07034699
